,Ranking,Move,Player,Age,Points,Tourn Played,Points Dropping,Next Best
0,1,0,Novak Djokovic,31.0,11070,18,0,0
1,2,0,Rafael Nadal,32.0,8725,16,0,0
2,3,0,Alexander Zverev,21.0,6040,20,0,0
3,4,0,Roger Federer,37.0,5590,17,0,0
4,5,0,Dominic Thiem,25.0,4765,24,0,0
5,6,0,Kei Nishikori,29.0,4200,23,0,0
6,7,0,Kevin Anderson,32.0,4115,18,0,0
7,8,0,Stefanos Tsitsipas,20.0,3240,28,0,0
8,9,0,Juan Martin del Potro,30.0,3225,14,0,0
9,10,0,John Isner,33.0,3085,23,0,0
10,11,0,Marin Cilic,30.0,3015,18,0,0
11,12,0,Karen Khachanov,22.0,2810,24,0,0
12,13,0,Borna Coric,22.0,2345,20,0,0
13,14,0,Daniil Medvedev,23.0,2295,27,0,0
14,15,0,Milos Raonic,28.0,2140,21,0,0
15,16,0,Marco Cecchinato,26.0,2021,29,0,0
16,17,0,Nikoloz Basilashvili,27.0,1930,29,0,0
17,18,0,Fabio Fognini,31.0,1885,25,0,0
18,19,0,Gael Monfils,32.0,1875,21,0,0
19,20,0,Denis Shapovalov,19.0,1820,27,0,0
20,21,0,David Goffin,28.0,1765,23,0,0
21,22,0,Kyle Edmund,24.0,1680,24,150,45
22,23,0,Roberto Bautista Agut,30.0,1680,23,0,0
23,24,0,Diego Schwartzman,26.0,1485,26,0,0
24,25,0,Alex de Minaur,20.0,1439,25,0,0
25,26,0,Richard Gasquet,32.0,1375,20,90,0
26,27,0,Gilles Simon,34.0,1340,27,45,20
27,28,0,Pablo Carreno Busta,27.0,1300,19,0,0
28,29,0,Grigor Dimitrov,27.0,1300,18,0,0
29,30,0,Frances Tiafoe,21.0,1290,24,0,0
30,31,0,Lucas Pouille,25.0,1275,21,0,0
31,32,0,Laslo Djere,23.0,1246,24,0,0
32,33,0,Felix Auger-Aliassime,18.0,1245,29,0,0
33,34,0,Guido Pella,28.0,1240,27,45,10
34,35,0,Nick Kyrgios,23.0,1215,23,0,0
35,36,0,Stan Wawrinka,34.0,1185,20,0,0
36,37,0,Marton Fucsovics,27.0,1180,28,0,0
37,38,0,Fernando Verdasco,35.0,1155,26,0,0
38,39,0,Steve Johnson,29.0,1125,24,250,0
39,40,0,John Millman,29.0,1095,25,0,0
40,41,0,Philipp Kohlschreiber,35.0,1070,25,0,0
41,42,0,Jeremy Chardy,32.0,1055,27,0,0
42,43,0,Joao Sousa,30.0,1027,28,90,0
43,44,0,Mikhail Kukushkin,31.0,1025,23,0,0
44,45,0,Jan-Lennard Struff,28.0,990,25,0,0
45,46,0,Radu Albot,29.0,987,31,20,10
46,47,0,Andreas Seppi,35.0,970,28,0,0
47,48,0,Dusan Lajovic,28.0,950,26,0,0
48,49,0,Martin Klizan,29.0,947,21,7,0
49,50,0,Pierre-Hugues Herbert,28.0,944,24,0,0
50,51,0,Matthew Ebden,31.0,941,27,10,0
51,52,0,Hubert Hurkacz,22.0,934,24,0,0
52,53,0,Damir Dzumhur,26.0,930,29,0,0
53,54,0,Matteo Berrettini,22.0,927,27,0,0
54,55,0,Cameron Norrie,23.0,925,23,0,0
55,56,0,Reilly Opelka,21.0,919,19,0,0
56,57,0,Adrian Mannarino,30.0,915,32,0,0
57,58,0,Taylor Fritz,21.0,890,25,90,10
58,59,0,Mackenzie McDonald,23.0,871,26,0,0
