,tourney_ID,tourney_name,surface,draw_size,tourney_date,winner_seed,winner,loser_seed,loser,score,duration,w_sr,w_aces,w_df,w_1st_in,w_1st_svp,w_2nd_svp,w_bps,w_sgp,w_rr,w_1sts_rpw,w_2nds_rpw,w_bpc,w_rgp,w_spw,w_rpw,w_tpw,l_sr,l_aces,l_df,l_1st_in,l_1st_svp,l_2nd_svp,l_bps,l_sgp,l_rr,l_1sts_rpw,l_2nds_rpw,l_bpc,l_rgp,l_spw,l_rpw,l_tpw
0,9158,Cordoba Open,Clay,28,2019.02.04 - 2019.02.10,(W),Juan Ignacio Londero,(8),Guido Pella,36 75 61,02:03:15,230,4,2,61%  (59/96),71%  (42/59),32%  (12/37),58%  (7/12),14,146,13%  (6/45),62%  (21/34),50%  (3/6),14,56%  (54/96),34%  (27/79),46%  (81/175),266,9,3,57%  (45/79),87%  (39/45),38%  (13/34),50%  (3/6),14,174,29%  (17/59),68%  (25/37),42%  (5/12),14,66%  (52/79),44%  (42/96),54%  (94/175)
1,9158,Cordoba Open,Clay,28,2019.02.04 - 2019.02.10,(8),Guido Pella,,Pablo Cuevas,61 36 63,01:52:54,249,11,4,50%  (41/82),71%  (29/41),46%  (19/41),57%  (4/7),12,102,24%  (12/49),38%  (9/24),33%  (1/3),13,59%  (48/82),29%  (21/73),45%  (69/155),302,5,1,67%  (49/73),76%  (37/49),63%  (15/24),67%  (2/3),13,151,29%  (12/41),54%  (22/41),43%  (3/7),12,71%  (52/73),41%  (34/82),55%  (86/155)
2,9158,Cordoba Open,Clay,28,2019.02.04 - 2019.02.10,(W),Juan Ignacio Londero,,Federico Delbonis,61 60,01:00:11,310,4,0,71%  (30/42),77%  (23/30),58%  (7/12),0%  (0/0),7,240,52%  (12/23),63%  (17/27),42%  (5/12),6,71%  (30/42),58%  (29/50),64%  (59/92),143,4,8,46%  (23/50),48%  (11/23),37%  (10/27),58%  (7/12),6,65,23%  (7/30),42%  (5/12),0%  (0/0),7,42%  (21/50),29%  (12/42),36%  (33/92)
3,9158,Cordoba Open,Clay,28,2019.02.04 - 2019.02.10,(8),Guido Pella,(3),Diego Schwartzman,75 62,01:50:53,221,1,2,53%  (34/64),56%  (19/34),53%  (16/30),33%  (2/6),10,107,33%  (16/49),50%  (13/26),14%  (1/7),10,55%  (35/64),39%  (29/75),46%  (64/139),272,1,1,65%  (49/75),67%  (33/49),50%  (13/26),86%  (6/7),10,198,44%  (15/34),47%  (14/30),67%  (4/6),10,61%  (46/75),45%  (29/64),54%  (75/139)
4,9158,Cordoba Open,Clay,28,2019.02.04 - 2019.02.10,,Pablo Cuevas,,Aljaz Bedene,762 61,01:42:11,230,4,2,55%  (41/75),66%  (27/41),41%  (14/34),75%  (9/12),9,115,10%  (3/31),45%  (10/22),50%  (1/2),10,55%  (41/75),25%  (13/53),42%  (54/128),297,6,2,58%  (31/53),90%  (28/31),55%  (12/22),50%  (1/2),10,151,34%  (14/41),59%  (20/34),25%  (3/12),9,75%  (40/53),45%  (34/75),58%  (74/128)
5,9158,Cordoba Open,Clay,28,2019.02.04 - 2019.02.10,,Federico Delbonis,,Jaume Munar,75 64,01:56:28,285,3,7,67%  (57/85),68%  (39/57),54%  (15/28),100%  (12/12),11,147,31%  (18/59),65%  (11/17),33%  (2/6),11,64%  (54/85),38%  (29/76),52%  (83/161),265,5,3,78%  (59/76),69%  (41/59),35%  (6/17),67%  (4/6),11,78,32%  (18/57),46%  (13/28),0%  (0/12),11,62%  (47/76),36%  (31/85),48%  (78/161)
6,9158,Cordoba Open,Clay,28,2019.02.04 - 2019.02.10,(W),Juan Ignacio Londero,(Q),Pedro Cachin,64 763,01:48:37,307,5,1,69%  (48/70),71%  (34/48),73%  (16/22),86%  (6/7),11,123,27%  (14/51),56%  (22/39),22%  (2/9),11,71%  (50/70),40%  (36/90),54%  (86/160),259,5,1,57%  (51/90),73%  (37/51),44%  (17/39),78%  (7/9),11,79,29%  (14/48),27%  (6/22),14%  (1/7),11,60%  (54/90),29%  (20/70),46%  (74/160)
7,9158,Cordoba Open,Clay,28,2019.02.04 - 2019.02.10,,Aljaz Bedene,(1),Fabio Fognini,61 64,01:09:38,171,0,4,57%  (32/56),47%  (15/32),38%  (9/24),25%  (2/8),9,183,26%  (8/31),65%  (11/17),67%  (2/3),8,43%  (24/56),40%  (19/48),41%  (43/104),253,7,3,65%  (31/48),74%  (23/31),35%  (6/17),33%  (1/3),8,257,53%  (17/32),63%  (15/24),75%  (6/8),9,60%  (29/48),57%  (32/56),59%  (61/104)
8,9158,Cordoba Open,Clay,28,2019.02.04 - 2019.02.10,,Jaume Munar,(2),Marco Cecchinato,63 36 61,01:38:19,291,3,2,65%  (53/81),72%  (38/53),61%  (17/28),50%  (1/2),13,211,25%  (12/48),61%  (11/18),100%  (3/3),12,68%  (55/81),35%  (23/66),53%  (78/147),263,4,3,73%  (48/66),75%  (36/48),39%  (7/18),0%  (0/3),12,124,28%  (15/53),39%  (11/28),50%  (1/2),13,65%  (43/66),32%  (26/81),47%  (69/147)
9,9158,Cordoba Open,Clay,28,2019.02.04 - 2019.02.10,(3),Diego Schwartzman,(Q),Alessandro Giannessi,674 63 60,02:21:52,251,3,5,77%  (72/94),71%  (51/72),27%  (6/22),57%  (4/7),14,201,37%  (25/68),76%  (25/33),35%  (7/20),13,61%  (57/94),50%  (50/101),55%  (107/195),199,4,5,67%  (68/101),63%  (43/68),24%  (8/33),65%  (13/20),13,166,29%  (21/72),73%  (16/22),43%  (3/7),14,50%  (51/101),39%  (37/94),45%  (88/195)
10,9158,Cordoba Open,Clay,28,2019.02.04 - 2019.02.10,(Q),Pedro Cachin,(4),Pablo Carreno Busta,673 10 (RET),01:11:54,254,2,1,55%  (24/44),75%  (18/24),40%  (8/20),75%  (3/4),6,135,24%  (7/29),58%  (11/19),25%  (2/8),7,59%  (26/44),38%  (18/48),48%  (44/92),246,0,3,60%  (29/48),76%  (22/29),42%  (8/19),75%  (6/8),7,126,25%  (6/24),60%  (12/20),25%  (1/4),6,63%  (30/48),41%  (18/44),52%  (48/92)
11,9158,Cordoba Open,Clay,28,2019.02.04 - 2019.02.10,,Pablo Cuevas,(6),Malek Jaziri,765 62,01:22:24,312,9,0,66%  (40/61),80%  (32/40),67%  (14/21),50%  (1/2),10,200,32%  (13/41),63%  (10/16),75%  (3/4),10,75%  (46/61),40%  (23/57),58%  (69/118),247,1,2,72%  (41/57),68%  (28/41),38%  (6/16),25%  (1/4),10,113,20%  (8/40),33%  (7/21),50%  (1/2),10,60%  (34/57),25%  (15/61),42%  (49/118)
12,9158,Cordoba Open,Clay,28,2019.02.04 - 2019.02.10,(8),Guido Pella,,Albert Ramos-Vinolas,64 764,02:05:48,244,1,2,63%  (55/88),62%  (34/55),48%  (16/33),25%  (1/4),11,115,28%  (10/36),29%  (8/28),40%  (2/5),11,57%  (50/88),28%  (18/64),45%  (68/152),285,5,0,56%  (36/64),72%  (26/36),71%  (20/28),60%  (3/5),11,192,38%  (21/55),52%  (17/33),75%  (3/4),11,72%  (46/64),43%  (38/88),55%  (84/152)
13,9158,Cordoba Open,Clay,28,2019.02.04 - 2019.02.10,,Federico Delbonis,,Roberto Carballes Baena,673 62 62,02:45:12,281,10,7,55%  (56/102),79%  (44/56),52%  (24/46),90%  (9/10),14,170,22%  (12/54),63%  (32/51),50%  (5/10),14,67%  (68/102),42%  (44/105),54%  (112/207),231,5,4,51%  (54/105),78%  (42/54),37%  (19/51),50%  (5/10),14,86,21%  (12/56),48%  (22/46),10%  (1/10),14,58%  (61/105),33%  (34/102),46%  (95/207)
14,9158,Cordoba Open,Clay,28,2019.02.04 - 2019.02.10,(W),Juan Ignacio Londero,,Lorenzo Sonego,75 63,01:40:43,298,1,1,61%  (51/83),71%  (36/51),66%  (21/32),100%  (5/5),11,166,31%  (11/35),48%  (11/23),67%  (2/3),10,69%  (57/83),38%  (22/58),56%  (79/141),264,5,2,60%  (35/58),69%  (24/35),52%  (12/23),33%  (1/3),10,63,29%  (15/51),34%  (11/32),0%  (0/5),11,62%  (36/58),31%  (26/83),44%  (62/141)
15,9158,Cordoba Open,Clay,28,2019.02.04 - 2019.02.10,(W),Juan Ignacio Londero,(5),Nicolas Jarry,62 765,01:21:07,281,5,1,60%  (34/57),85%  (29/34),52%  (12/23),33%  (1/3),10,66,23%  (10/44),43%  (12/28),0%  (0/5),10,72%  (41/57),31%  (22/72),49%  (63/129),293,1,3,61%  (44/72),77%  (34/44),57%  (16/28),100%  (5/5),10,150,15%  (5/34),48%  (11/23),67%  (2/3),10,69%  (50/72),28%  (16/57),51%  (66/129)
16,9158,Cordoba Open,Clay,28,2019.02.04 - 2019.02.10,(6),Malek Jaziri,(W),Carlos Berlocq,63 46 764,02:48:01,229,2,2,62%  (68/109),54%  (37/68),51%  (21/41),33%  (3/9),16,193,38%  (18/48),51%  (29/57),71%  (5/7),15,53%  (58/109),45%  (47/105),49%  (105/214),220,2,6,46%  (48/105),63%  (30/48),49%  (28/57),29%  (2/7),15,199,46%  (31/68),49%  (20/41),67%  (6/9),16,55%  (58/105),47%  (51/109),51%  (109/214)
17,9158,Cordoba Open,Clay,28,2019.02.04 - 2019.02.10,,Federico Delbonis,(7),Leonardo Mayer,64 675 63,02:28:24,243,6,5,56%  (52/93),69%  (36/52),51%  (21/41),44%  (4/9),15,144,36%  (23/64),40%  (17/42),50%  (3/6),16,61%  (57/93),38%  (40/106),49%  (97/199),262,3,6,60%  (64/106),64%  (41/64),60%  (25/42),50%  (3/6),16,169,31%  (16/52),49%  (20/41),56%  (5/9),15,62%  (66/106),39%  (36/93),51%  (102/199)
18,9158,Cordoba Open,Clay,28,2019.02.04 - 2019.02.10,(8),Guido Pella,(L),Paolo Lorenzi,61 63,01:13:42,183,1,2,53%  (28/53),54%  (15/28),40%  (10/25),44%  (4/9),8,165,26%  (6/23),27%  (4/15),100%  (1/1),8,47%  (25/53),26%  (10/38),38%  (35/91),296,1,0,61%  (23/38),74%  (17/23),73%  (11/15),0%  (0/1),8,224,46%  (13/28),60%  (15/25),56%  (5/9),8,74%  (28/38),53%  (28/53),62%  (56/91)
19,9158,Cordoba Open,Clay,28,2019.02.04 - 2019.02.10,,Aljaz Bedene,,Maximilian Marterer,63 64,01:26:34,308,2,1,58%  (32/55),84%  (27/32),65%  (15/23),0%  (0/0),10,140,27%  (12/45),71%  (10/14),20%  (2/10),9,76%  (42/55),37%  (22/59),56%  (64/114),256,3,2,76%  (45/59),73%  (33/45),29%  (4/14),80%  (8/10),9,51,16%  (5/32),35%  (8/23),0%  (0/0),10,63%  (37/59),24%  (13/55),44%  (50/114)
20,9158,Cordoba Open,Clay,28,2019.02.04 - 2019.02.10,(Q),Pedro Cachin,,Cameron Norrie,64 64,01:22:30,254,0,2,59%  (38/64),71%  (27/38),46%  (12/26),67%  (4/6),10,45,8%  (2/25),37%  (10/27),0%  (0/0),10,61%  (39/64),23%  (12/52),44%  (51/116),304,2,1,48%  (25/52),92%  (23/25),63%  (17/27),0%  (0/0),10,136,29%  (11/38),54%  (14/26),33%  (2/6),10,77%  (40/52),39%  (25/64),56%  (65/116)
21,9158,Cordoba Open,Clay,28,2019.02.04 - 2019.02.10,,Roberto Carballes Baena,(Q),Andrej Martin,63 62,01:30:44,192,0,1,71%  (39/55),54%  (21/39),31%  (5/16),50%  (5/10),8,177,30%  (12/40),58%  (11/19),67%  (2/3),9,47%  (26/55),39%  (23/59),43%  (49/114),252,0,5,68%  (40/59),70%  (28/40),42%  (8/19),33%  (1/3),9,227,46%  (18/39),69%  (11/16),50%  (5/10),8,61%  (36/59),53%  (29/55),57%  (65/114)
